gauge_name,lat,lon,aridity,aridity_class,mean_streamflow_cfs,mean_evap_mm_day,mean_prcp_mm_day
"ALSEA RIVER NEAR TIDEWATER, OR",44.38595,-123.83178,0.989973,Sub-humid,1387.414111,6.112275,6.174183
"AMERICAN RIVER NEAR NILE, WA",46.97762,-121.1687,0.836088,Sub-humid,228.252112,4.05578,4.850902
"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",44.26867,-71.63036,1.192061,Arid,222.618429,4.710662,3.951697
ANDREAS C NR PALM SPRINGS CA,33.76002,-116.55002,7.290671,Arid,3.216232,7.981865,1.094805
"ANDREWS CREEK NEAR MAZAMA, WA",48.82292,-120.14592,1.22607,Arid,32.48028,3.239831,2.642453
ARROYO SECO NR PASADENA CA,34.22223,-118.17757,4.107495,Arid,10.621731,8.036171,1.956465
ARROYO VALLE BL LANG CN NR LIVERMORE CA,37.56132,-121.68384,4.848285,Arid,36.378358,7.170963,1.479072
"AUGUSTA CREEK NEAR AUGUSTA, MI",42.35337,-85.35389,2.39714,Arid,44.381258,6.671177,2.782973
"AYERS BROOK AT RANDOLPH, VT",43.93451,-72.65788,1.669837,Arid,56.703536,5.464719,3.272607
"BACK CREEK NEAR SUNRISE, VA",38.2454,-79.76866,1.828422,Arid,90.29111,6.105298,3.339107
"BAD RIVER NEAR ODANAH, WI",46.48661,-90.6963,2.218093,Arid,601.597563,5.496884,2.478203
"BALDHILL CREEK NR DAZEY, ND",47.22916,-98.12482,4.180453,Arid,45.885113,5.984388,1.431517
BATTLE CR AT HERMOSA SD,43.82805,-103.19602,4.246437,Arid,16.521173,5.841761,1.375685
BATTLE CR NEAR KEYSTONE SD,43.87249,-103.33658,3.747105,Arid,8.918313,5.509235,1.470264
BEAR C NR LAKE THOMAS A EDISON CA,37.33939,-118.97345,1.453197,Arid,97.629743,2.9223,2.010946
"BEAR CREEK AT FRIENDSVILLE, MD",39.65614,-79.39411,1.683782,Arid,92.840527,6.079214,3.610453
