Station id,Baseline Tree depth,Baseline Min samples split,Baseline Min samples leaf,Baseline Feature ratio,Modified Tree depth,Modified Min samples split,Modified Min samples leaf,Modified Feature ratio
1031500,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1013500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1030500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1022500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1047000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1054200,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1055000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1052500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1057000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1073000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1078000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1134500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1142500,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1137500,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1139800,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1139000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1162500,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
1144000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1169000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1170100,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1181000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1333000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1439500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1440000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
1451800,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1440400,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1484100,8,4,4,0.6330242596481994,5,6,2,0.5060088760622651
1485500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1487000,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
1486000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1491000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
1510000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1532000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1539000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
1516500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1542810,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
1543000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1544500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1543500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1545600,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1547700,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1549500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1548500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1550000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1552000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1552500,8,4,4,0.6330242596481994,5,6,2,0.5060088760622651
1567500,5,8,3,0.7358192915830861,2,3,4,0.6761429142764176
1557500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
1591400,7,5,1,0.6351157813686702,5,6,2,0.5060088760622651
1580000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1568000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1583500,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
1613050,2,7,3,0.7575793759734148,8,3,4,0.5791076592435124
1620500,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
1596500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
1634500,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
1638480,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
1639500,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
1644000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
1658500,5,4,1,0.6931595360241993,2,3,4,0.6761429142764176
1664000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
1666500,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
1669000,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
1667500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2011400,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2011460,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2013000,5,8,3,0.7358192915830861,3,8,2,0.5835899076556831
2014000,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
2015700,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2016000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2017500,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
2018000,5,4,1,0.6931595360241993,8,3,4,0.5791076592435124
2027000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2027500,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
2038850,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2028500,8,4,4,0.6330242596481994,3,8,2,0.5835899076556831
2046000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2051500,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2053200,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2053800,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
2055100,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
2064000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2056900,2,7,3,0.7575793759734148,5,6,2,0.5060088760622651
2059500,5,8,3,0.7358192915830861,2,3,4,0.6761429142764176
2065500,5,4,1,0.6931595360241993,8,3,4,0.5791076592435124
2069700,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2070000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2074500,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
2077200,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2081500,2,7,3,0.7575793759734148,5,6,2,0.5060088760622651
2082950,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2092500,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2102908,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2108000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
2111180,2,7,3,0.7575793759734148,8,3,4,0.5791076592435124
2112120,8,4,4,0.6330242596481994,3,8,2,0.5835899076556831
2112360,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2128000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2118500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2143000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2149000,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
2143040,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
